MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2006,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,10.8,8.2,9.6,29,221,,
2006,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,11.4,8.2,10.0,28,230,,
2006,AUDI,A4,COMPACT,2.0,4,AV,Z,11.2,8.0,9.7,29,223,,
2006,AUDI,A4,COMPACT,2.0,4,M6,Z,11.5,7.4,9.7,29,223,,
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,12.2,8.6,10.6,27,244,,
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,M6,Z,12.0,8.3,10.4,27,239,,
2006,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,13.8,9.6,11.9,24,274,,
2006,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3.0,6,AS5,Z,14.8,10.2,12.7,22,292,,
2006,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS6,Z,12.2,8.6,10.6,27,244,,
2006,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,12.0,8.3,10.4,27,239,,
2006,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,13.8,9.6,11.9,24,274,,
2006,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,14.5,9.7,12.3,23,283,,
2006,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,13.8,9.6,11.9,24,274,,
2006,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,15.2,11.0,13.3,21,306,,
2006,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,15.0,10.5,13.0,22,299,,
2006,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,15.0,10.5,13.0,22,299,,
2006,AUDI,A8L,FULL-SIZE,6.0,12,AS6,Z,17.8,12.3,15.3,18,352,,
2006,AUDI,S4,COMPACT,4.2,8,AS6,Z,17.0,11.1,14.3,20,329,,
2006,AUDI,S4,COMPACT,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2006,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,AS6,Z,17.0,11.1,14.3,20,329,,
2006,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2006,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,17.2,11.4,14.6,19,336,,
2006,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2006,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M6,Z,13.2,9.0,11.3,25,260,,
2006,AUDI,TT COUPE QUATTRO,MINICOMPACT,3.2,6,AS6,Z,13.8,9.8,12.0,24,276,,
2006,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.8,4,M6,Z,13.2,9.0,11.3,25,260,,
2006,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,AS6,Z,14.2,10.1,12.3,23,283,,
2006,BENTLEY,ARNAGE,MID-SIZE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2006,BENTLEY,ARNAGE LWB,FULL-SIZE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2006,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6.0,12,AS6,Z,23.3,14.2,19.2,15,442,,
2006,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS6,Z,22.4,13.6,18.5,15,426,,
2006,BMW,323i,COMPACT,2.5,6,A6,Z,12.7,8.0,10.6,27,244,,
2006,BMW,323i,COMPACT,2.5,6,M6,Z,12.6,8.2,10.6,27,244,,
2006,BMW,325Ci,SUBCOMPACT,3.0,6,A6,Z,13.8,9.5,11.9,24,274,,
2006,BMW,325Ci,SUBCOMPACT,3.0,6,M6,Z,13.1,8.7,11.1,25,255,,
2006,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,14.3,9.7,12.2,23,281,,
2006,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,M5,Z,14.2,9.5,12.1,23,278,,
2006,BMW,325i,COMPACT,3.0,6,A6,Z,12.8,8.6,10.9,26,251,,
2006,BMW,325i,COMPACT,3.0,6,M6,Z,12.9,8.2,10.8,26,248,,
2006,BMW,325xi,COMPACT,3.0,6,A6,Z,13.3,9.3,11.5,25,265,,
2006,BMW,325xi,COMPACT,3.0,6,M6,Z,13.5,9.0,11.5,25,265,,
2006,BMW,325xi SPORT WAGON,STATION WAGON - SMALL,3.0,6,A6,Z,13.2,9.4,11.5,25,265,,
2006,BMW,325xi SPORT WAGON,STATION WAGON - SMALL,3.0,6,M6,Z,13.6,9.3,11.7,24,269,,
2006,BMW,330Ci,SUBCOMPACT,3.0,6,A6,Z,13.8,9.5,11.9,24,274,,
2006,BMW,330Ci,SUBCOMPACT,3.0,6,M6,Z,13.0,8.5,10.9,26,251,,
2006,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,A6,Z,14.4,10.1,12.4,23,285,,
2006,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,M6,Z,13.6,9.0,11.6,24,267,,
2006,BMW,330i,COMPACT,3.0,6,A6,Z,12.9,8.7,11.0,26,253,,
2006,BMW,330i,COMPACT,3.0,6,M6,Z,12.9,8.5,10.9,26,251,,
2006,BMW,330xi,COMPACT,3.0,6,A6,Z,13.2,9.4,11.5,25,265,,
2006,BMW,330xi,COMPACT,3.0,6,M6,Z,13.5,9.0,11.5,25,265,,
2006,BMW,525i,MID-SIZE,3.0,6,A6,Z,12.9,8.7,11.0,26,253,,
2006,BMW,525i,MID-SIZE,3.0,6,M6,Z,12.9,8.5,10.9,26,251,,
2006,BMW,525xi,MID-SIZE,3.0,6,A6,Z,13.2,9.4,11.5,25,265,,
2006,BMW,525xi,MID-SIZE,3.0,6,M6,Z,13.5,9.0,11.5,25,265,,
2006,BMW,530i,MID-SIZE,3.0,6,A6,Z,12.9,8.7,11.0,26,253,,
2006,BMW,530i,MID-SIZE,3.0,6,M6,Z,12.9,8.5,10.9,26,251,,
2006,BMW,530xi,MID-SIZE,3.0,6,A6,Z,13.2,9.4,11.5,25,265,,
2006,BMW,530xi,MID-SIZE,3.0,6,M6,Z,13.6,9.3,11.7,24,269,,
2006,BMW,530xi SPORT WAGON,STATION WAGON - MID-SIZE,3.0,6,A6,Z,13.2,9.4,11.5,25,265,,
2006,BMW,530xi SPORT WAGON,STATION WAGON - MID-SIZE,3.0,6,M6,Z,13.6,9.3,11.7,24,269,,
2006,BMW,550i,MID-SIZE,4.8,8,A6,Z,14.8,9.8,12.6,22,290,,
2006,BMW,550i,MID-SIZE,4.8,8,AM6,Z,16.5,11.4,14.2,20,327,,
2006,BMW,550i,MID-SIZE,4.8,8,M6,Z,16.5,11.0,14.0,20,322,,
2006,BMW,650Ci,SUBCOMPACT,4.8,8,A6,Z,14.8,9.8,12.6,22,290,,
2006,BMW,650Ci,SUBCOMPACT,4.8,8,AM6,Z,16.5,11.4,14.2,20,327,,
2006,BMW,650Ci,SUBCOMPACT,4.8,8,M6,Z,16.5,11.0,14.0,20,322,,
2006,BMW,650Ci CONVERTIBLE,SUBCOMPACT,4.8,8,A6,Z,15.4,10.3,13.1,22,301,,
2006,BMW,650Ci CONVERTIBLE,SUBCOMPACT,4.8,8,AM6,Z,17.4,11.8,14.9,19,343,,
2006,BMW,650Ci CONVERTIBLE,SUBCOMPACT,4.8,8,M6,Z,18.0,11.8,15.2,19,350,,
2006,BMW,750i,FULL-SIZE,4.8,8,A6,Z,15.4,10.3,13.1,22,301,,
2006,BMW,750Li,FULL-SIZE,4.8,8,A6,Z,15.4,10.3,13.1,22,301,,
2006,BMW,760i,FULL-SIZE,6.0,12,A6,Z,17.6,11.2,14.7,19,338,,
2006,BMW,760Li,FULL-SIZE,6.0,12,A6,Z,17.6,11.2,14.7,19,338,,
2006,BMW,M3,SUBCOMPACT,3.2,6,AM6,Z,14.9,10.4,12.9,22,297,,
2006,BMW,M3,SUBCOMPACT,3.2,6,M6,Z,16.2,10.6,13.7,21,315,,
2006,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,AM6,Z,15.4,11.2,13.5,21,311,,
2006,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,M6,Z,16.6,11.1,14.1,20,324,,
2006,BMW,M5,MID-SIZE,5.0,10,AM7,Z,20.0,12.9,16.8,17,386,,
2006,BMW,X3,SUV,2.5,6,A5,Z,15.7,10.9,13.5,21,311,,
2006,BMW,X3,SUV,2.5,6,M6,Z,15.2,10.5,13.1,22,301,,
2006,BMW,X3,SUV,3.0,6,A5,Z,16.5,11.0,14.0,20,322,,
2006,BMW,X3,SUV,3.0,6,M6,Z,15.4,10.4,13.2,21,304,,
2006,BMW,X5,SUV,3.0,6,A6,Z,16.6,12.2,14.6,19,336,,
2006,BMW,X5,SUV,3.0,6,M6,Z,17.7,11.9,15.1,19,347,,
2006,BMW,X5,SUV,4.4,8,A6,Z,16.5,11.7,14.3,20,329,,
2006,BMW,X5 4.8is,SUV,4.8,8,A6,Z,16.4,11.9,14.4,20,331,,
2006,BUICK,ALLURE,MID-SIZE,3.6,6,A4,X,13.9,9.5,11.9,24,274,,
2006,BUICK,ALLURE,MID-SIZE,3.8,6,A4,X,13.7,8.7,11.5,25,265,,
2006,BUICK,LUCERNE,FULL-SIZE,3.8,6,A4,X,13.7,8.7,11.5,25,265,,
2006,BUICK,LUCERNE,FULL-SIZE,4.6,8,A4,X,15.4,10.3,13.1,22,301,,
2006,BUICK,RAINIER AWD,SUV,4.2,6,A4,X,17.6,12.9,15.5,18,357,,
2006,BUICK,RAINIER AWD,SUV,5.3,8,A4,X,17.1,12.0,14.8,19,340,,
2006,BUICK,RENDEZVOUS,SUV,3.5,6,A4,X,14.2,10.1,12.3,23,283,,
2006,BUICK,RENDEZVOUS,SUV,3.6,6,A4,X,14.5,10.1,12.5,23,288,,
2006,BUICK,RENDEZVOUS AWD,SUV,3.5,6,A4,X,15.0,11.0,13.2,21,304,,
2006,BUICK,RENDEZVOUS AWD,SUV,3.6,6,A4,X,14.5,10.1,12.5,23,288,,
2006,BUICK,TERRAZA,MINIVAN,3.5,6,A4,X,14.5,10.3,12.6,22,290,,
2006,BUICK,TERRAZA,MINIVAN,3.9,6,A4,X,14.7,10.1,12.6,22,290,,
2006,BUICK,TERRAZA AWD,MINIVAN,3.5,6,A4,X,15.4,11.2,13.5,21,311,,
2006,CADILLAC,CTS,MID-SIZE,2.8,6,AS5,X,14.7,9.6,12.4,23,285,,
2006,CADILLAC,CTS,MID-SIZE,2.8,6,M6,X,15.2,9.5,12.6,22,290,,
2006,CADILLAC,CTS,MID-SIZE,3.6,6,AS5,X,14.7,10.2,12.7,22,292,,
2006,CADILLAC,CTS,MID-SIZE,3.6,6,M6,X,15.7,9.7,13.0,22,299,,
2006,CADILLAC,CTS,MID-SIZE,6.0,8,M6,Z,17.1,10.9,14.3,20,329,,
2006,CADILLAC,DTS,FULL-SIZE,4.6,8,A4,X,15.4,10.3,13.1,22,301,,
2006,CADILLAC,ESCALADE AWD,SUV,6.0,8,A4,Z,19.1,14.6,17.1,17,393,,
2006,CADILLAC,ESCALADE ESV AWD,SUV,6.0,8,A4,Z,19.1,14.6,17.1,17,393,,
2006,CADILLAC,ESCALADE EXT AWD,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,19.1,14.6,17.1,17,393,,
2006,CADILLAC,SRX,SUV,3.6,6,AS5,X,16.2,10.7,13.7,21,315,,
2006,CADILLAC,SRX,SUV,4.6,8,AS5,Z,17.9,10.7,14.7,19,338,,
2006,CADILLAC,SRX AWD,SUV,3.6,6,AS5,X,16.9,11.4,14.4,20,331,,
2006,CADILLAC,SRX AWD,SUV,4.6,8,AS5,Z,17.9,11.2,14.9,19,343,,
2006,CADILLAC,STS,MID-SIZE,3.6,6,AS5,X,14.7,10.2,12.7,22,292,,
2006,CADILLAC,STS,MID-SIZE,4.6,8,AS5,Z,15.7,10.1,13.2,21,304,,
2006,CADILLAC,STS AWD,MID-SIZE,3.6,6,AS5,X,15.4,10.3,13.1,22,301,,
2006,CADILLAC,STS AWD,MID-SIZE,4.6,8,AS5,Z,16.3,11.1,13.9,20,320,,
2006,CADILLAC,XLR,TWO-SEATER,4.6,8,AS5,Z,15.7,10.1,13.2,21,304,,
2006,CHEVROLET,AVEO,SUBCOMPACT,1.6,4,A4,X,11.1,7.5,9.5,30,219,,
2006,CHEVROLET,AVEO,SUBCOMPACT,1.6,4,M5,X,10.4,7.4,9.1,31,209,,
2006,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.0,14.1,16.2,17,373,,
2006,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.4,13.5,16.2,17,373,,
2006,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,24.2,18.0,21.4,13,342,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.6,12.3,14.7,19,338,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.9,11.9,14.7,19,338,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.0,12.1,14.2,20,327,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,16.3,11.8,14.2,20,327,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.5,12.6,14.7,19,338,,
2006,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,17.3,12.9,15.3,18,352,,
2006,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.5,12.1,14.5,19,334,,
2006,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,21.7,15.9,19.1,15,306,,
2006,CHEVROLET,C1500 SILVERADO HYBRID,PICKUP TRUCK - STANDARD,5.3,8,A4,X,14.8,12.2,13.6,21,313,,
2006,CHEVROLET,C1500 SUBURBAN,SUV,5.3,8,A4,X,17.7,12.8,15.5,18,357,,
2006,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,X,18.4,13.5,16.2,17,373,,
2006,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,E,24.2,18.0,21.4,13,342,,
2006,CHEVROLET,C1500 TAHOE,SUV,4.8,8,A4,X,16.8,12.7,15.0,19,345,,
2006,CHEVROLET,C1500 TAHOE,SUV,5.3,8,A4,X,17.7,12.8,15.5,18,357,,
2006,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,X,18.4,13.7,16.3,17,375,,
2006,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,E,24.2,18.2,21.5,13,344,,
2006,CHEVROLET,COBALT,SUBCOMPACT,2.0,4,M5,Z,11.5,8.7,10.2,28,235,,
2006,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,A4,X,10.9,8.0,9.6,29,221,,
2006,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,M5,X,10.9,7.3,9.3,30,214,,
2006,CHEVROLET,COBALT,SUBCOMPACT,2.4,4,A4,Z,10.6,7.9,9.4,30,216,,
2006,CHEVROLET,COBALT,SUBCOMPACT,2.4,4,M5,Z,10.8,7.5,9.3,30,214,,
2006,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.8,4,A4,X,15.4,10.9,13.4,21,308,,
2006,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.8,4,M5,X,13.7,9.4,11.8,24,271,,
2006,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,3.5,5,A4,X,14.0,10.5,12.5,23,288,,
2006,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,3.5,5,M5,X,14.6,10.2,12.6,22,290,,
2006,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.8,4,A4,X,16.0,11.3,13.9,20,320,,
2006,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.8,4,M5,X,15.4,11.0,13.4,21,308,,
2006,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,3.5,5,A4,X,14.9,11.4,13.3,21,306,,
2006,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,3.5,5,M5,X,15.0,11.2,13.3,21,306,,
2006,CHEVROLET,COLORADO CHASSIS CAB,PICKUP TRUCK - STANDARD,3.5,5,A4,X,15.6,11.4,13.7,21,315,,
2006,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,2.8,4,A4,X,15.5,10.9,13.4,21,308,,
2006,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,2.8,4,M5,X,13.7,9.4,11.8,24,271,,
2006,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,3.5,5,A4,X,14.0,10.6,12.5,23,288,,
2006,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - STANDARD,2.8,4,A4,X,16.0,11.3,13.9,20,320,,
2006,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - STANDARD,2.8,4,M5,X,15.4,11.0,13.4,21,308,,
2006,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - STANDARD,3.5,5,A4,X,15.4,11.8,13.8,20,317,,
2006,CHEVROLET,CORVETTE,TWO-SEATER,6.0,8,AS6,Z,15.4,9.4,12.7,22,292,,
2006,CHEVROLET,CORVETTE,TWO-SEATER,6.0,8,M6,Z,14.8,9.0,12.2,23,281,,
2006,CHEVROLET,CORVETTE,TWO-SEATER,7.0,8,M6,Z,16.0,9.7,13.1,22,301,,
2006,CHEVROLET,EPICA,MID-SIZE,2.5,6,A4,X,13.5,9.4,11.6,24,267,,
2006,CHEVROLET,EQUINOX,SUV,3.4,6,A5,X,14.2,10.1,12.3,23,283,,
2006,CHEVROLET,EQUINOX AWD,SUV,3.4,6,A5,X,14.7,10.6,12.9,22,297,,
2006,CHEVROLET,G15 EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,18.2,13.8,16.2,17,373,,
2006,CHEVROLET,G15 EXPRESS CARGO,VAN - CARGO,5.3,8,A4,X,16.5,12.6,14.7,19,338,,
2006,CHEVROLET,G15 EXPRESS CARGO CONV,VAN - CARGO,4.3,6,A4,X,18.3,13.8,16.3,17,375,,
2006,CHEVROLET,G15 EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.0,14.1,16.2,17,373,,
2006,CHEVROLET,G15 EXPRESS PASSENGER,VAN - PASSENGER,4.3,6,A4,X,17.4,13.1,15.5,18,357,,
2006,CHEVROLET,G15 EXPRESS PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.0,14.1,16.2,17,373,,
2006,CHEVROLET,H15 EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,X,17.7,12.8,15.5,18,357,,
2006,CHEVROLET,H15 EXPRESS CARGO AWD CONV,VAN - CARGO,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2006,CHEVROLET,H15 EXPRESS PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2006,CHEVROLET,HHR,SUV,2.2,4,A4,X,11.5,8.5,10.1,28,232,,
2006,CHEVROLET,HHR,SUV,2.2,4,M5,X,11.5,7.6,9.8,29,225,,
2006,CHEVROLET,HHR,SUV,2.4,4,A4,Z,11.6,8.1,10.0,28,230,,
2006,CHEVROLET,HHR,SUV,2.4,4,M5,Z,11.8,8.3,10.2,28,235,,
2006,CHEVROLET,IMPALA,FULL-SIZE,3.5,6,A4,X,12.8,8.3,10.8,26,248,,
2006,CHEVROLET,IMPALA,FULL-SIZE,3.9,6,A4,X,13.6,9.4,11.7,24,269,,
2006,CHEVROLET,IMPALA,FULL-SIZE,5.3,8,A4,Z,14.6,9.3,12.2,23,281,,
2006,CHEVROLET,IMPALA FFV,FULL-SIZE,3.5,6,A4,X,12.8,8.3,10.8,26,248,,
2006,CHEVROLET,IMPALA FFV,FULL-SIZE,3.5,6,A4,E,16.5,10.9,14.0,20,224,,
2006,CHEVROLET,K1500 AVALANCHE 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2006,CHEVROLET,K1500 AVALANCHE FFV 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,19.0,14.5,17.0,17,391,,
2006,CHEVROLET,K1500 AVALANCHE FFV 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,E,25.1,19.2,22.4,13,358,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.4,13.8,15.8,18,363,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,17.7,13.0,15.6,18,359,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.1,13.3,15.4,18,354,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,17.9,12.9,15.6,18,359,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.6,13.3,15.6,18,359,,
2006,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,18.8,15.0,17.1,17,393,,
2006,CHEVROLET,K1500 SILVERADO FFV 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.1,13.3,15.4,18,354,,
2006,CHEVROLET,K1500 SILVERADO FFV 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,E,22.4,17.4,20.2,14,323,,
2006,CHEVROLET,K1500 SILVERADO HYBRID 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.0,13.3,14.7,19,338,,
2006,CHEVROLET,K1500 SUBURBAN 4X4,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2006,CHEVROLET,K1500 SUBURBAN AWD,SUV,6.0,8,A4,Z,19.1,14.6,17.1,17,393,,
2006,CHEVROLET,K1500 SUBURBAN FFV 4X4,SUV,5.3,8,A4,X,19.0,14.5,17.0,17,391,,
2006,CHEVROLET,K1500 SUBURBAN FFV 4X4,SUV,5.3,8,A4,E,25.1,19.2,22.4,13,358,,
2006,CHEVROLET,K1500 TAHOE 4X4,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2006,CHEVROLET,K1500 TAHOE FFV 4X4,SUV,5.3,8,A4,X,19.0,14.5,17.0,17,391,,
2006,CHEVROLET,K1500 TAHOE FFV 4X4,SUV,5.3,8,A4,E,25.1,19.2,22.4,13,358,,
2006,CHEVROLET,MALIBU,MID-SIZE,2.2,4,A4,X,11.3,8.1,9.9,29,228,,
2006,CHEVROLET,MALIBU,MID-SIZE,3.5,6,A4,X,12.0,8.1,10.3,27,237,,
2006,CHEVROLET,MALIBU,MID-SIZE,3.9,6,AS4,X,14.7,10.2,12.7,22,292,,
2006,CHEVROLET,MALIBU MAXX,FULL-SIZE,3.5,6,A4,X,13.0,9.1,11.3,25,260,,
2006,CHEVROLET,MALIBU MAXX,FULL-SIZE,3.9,6,AS4,X,14.7,10.2,12.7,22,292,,
2006,CHEVROLET,MONTE CARLO,MID-SIZE,3.5,6,A4,X,12.5,8.2,10.5,27,242,,
2006,CHEVROLET,MONTE CARLO,MID-SIZE,3.9,6,A4,X,13.3,9.3,11.5,25,265,,
2006,CHEVROLET,MONTE CARLO,MID-SIZE,5.3,8,A4,Z,14.6,9.3,12.2,23,281,,
2006,CHEVROLET,OPTRA,COMPACT,2.0,4,A4,X,12.5,8.5,10.7,26,246,,
2006,CHEVROLET,OPTRA,COMPACT,2.0,4,M5,X,11.8,8.5,10.3,27,237,,
2006,CHEVROLET,OPTRA WAGON,STATION WAGON - SMALL,2.0,4,A4,X,12.5,8.5,10.7,26,246,,
2006,CHEVROLET,OPTRA WAGON,STATION WAGON - SMALL,2.0,4,M5,X,11.8,8.5,10.3,27,237,,
2006,CHEVROLET,SSR PICKUP,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,17.3,12.9,15.3,18,352,,
2006,CHEVROLET,SSR PICKUP,PICKUP TRUCK - STANDARD,6.0,8,M6,Z,19.9,12.6,16.6,17,382,,
2006,CHEVROLET,TRAILBLAZER,SUV,4.2,6,A4,X,16.5,11.7,14.3,20,329,,
2006,CHEVROLET,TRAILBLAZER,SUV,5.3,8,A4,X,16.5,11.5,14.3,20,329,,
2006,CHEVROLET,TRAILBLAZER,SUV,6.0,8,A4,Z,17.3,12.9,15.3,18,352,,
2006,CHEVROLET,TRAILBLAZER 4X4,SUV,4.2,6,A4,X,17.6,12.9,15.5,18,357,,
2006,CHEVROLET,TRAILBLAZER 4X4,SUV,5.3,8,A4,X,17.1,12.0,14.8,19,340,,
2006,CHEVROLET,TRAILBLAZER AWD,SUV,6.0,8,A4,Z,18.2,14.3,16.4,17,377,,
2006,CHEVROLET,TRAILBLAZER EXT,SUV,4.2,6,A4,X,17.3,12.7,15.2,19,350,,
2006,CHEVROLET,TRAILBLAZER EXT,SUV,5.3,8,A4,X,16.5,11.5,14.3,20,329,,
2006,CHEVROLET,TRAILBLAZER EXT 4X4,SUV,4.2,6,A4,X,17.6,12.9,15.5,18,357,,
2006,CHEVROLET,TRAILBLAZER EXT 4X4,SUV,5.3,8,A4,X,17.9,12.8,15.6,18,359,,
2006,CHEVROLET,UPLANDER,MINIVAN,3.5,6,A4,X,14.5,10.3,12.6,22,290,,
2006,CHEVROLET,UPLANDER,MINIVAN,3.9,6,A4,X,14.7,10.1,12.6,22,290,,
2006,CHEVROLET,UPLANDER AWD,MINIVAN,3.5,6,A4,X,15.4,11.2,13.5,21,311,,
2006,CHRYSLER,300,FULL-SIZE,3.5,6,A4,X,13.7,9.6,11.9,24,274,,
2006,CHRYSLER,300,FULL-SIZE,3.5,6,AS5,X,14.0,9.6,12.0,24,276,,
2006,CHRYSLER,300 AWD,FULL-SIZE,3.5,6,AS5,X,15.5,10.6,13.3,21,306,,
2006,CHRYSLER,300C (MDS),FULL-SIZE,5.7,8,AS5,X,15.5,10.4,13.2,21,304,,
2006,CHRYSLER,300C AWD (MDS),FULL-SIZE,5.7,8,AS5,X,15.2,10.6,13.2,21,304,,
2006,CHRYSLER,300C SRT8,FULL-SIZE,6.1,8,AS5,Z,18.3,12.8,15.8,18,363,,
2006,CHRYSLER,CROSSFIRE,TWO-SEATER,3.2,6,AS5,Z,12.7,9.3,11.1,25,255,,
2006,CHRYSLER,CROSSFIRE,TWO-SEATER,3.2,6,M6,Z,15.7,10.1,13.2,21,304,,
2006,CHRYSLER,CROSSFIRE ROADSTER,TWO-SEATER,3.2,6,AS5,Z,12.7,9.3,11.1,25,255,,
2006,CHRYSLER,CROSSFIRE ROADSTER,TWO-SEATER,3.2,6,M6,Z,15.7,10.1,13.2,21,304,,
